system,metric,mean,std,sem
Mg-Sn-Sr,final/diversity_stable_structure_amd_distance_min,0.04803567020653841,0.03383544364663296,0.015131670408546934
Mg-Sn-Sr,final/diversity_stable_structure_lattice_parameter_variance,2.1032493715493183,1.7324762778868124,0.7747869453521455
Mg-Sn-Sr,final/diversity_stable_structure_spacegroup_entropy,2.1155421441731455,0.12496382397366027,0.05588552102668445
Mg-Sn-Sr,final/diversity_stable_structure_unique_spacegroups_count,10.2,1.1661903789690602,0.521536192416212
Mg-Sn-Sr,final/diversity_stable_structure_unique_spacegroups_fraction,0.4076861569215392,0.028278107454812695,0.01264635410880095
Mg-Sn-Sr,final/diversity_stable_structure_unique_structure_count,21.4,1.9595917942265424,0.8763560920082657
Mg-Sn-Sr,final/diversity_stable_structure_unique_structure_fraction,0.8556311844077961,0.019539408322037422,0.008738289049640155
Mg-Sn-Sr,final/novelty_novel_structure_count,50.0,0.0,0.0
Mg-Sn-Sr,final/novelty_novel_structure_fraction,1.0,0.0,0.0
Mg-Sn-Sr,final/novelty_stable_count,25.0,2.0976176963403033,0.938083151964686
Mg-Sn-Sr,final/novelty_stable_fraction,0.5,0.041952353926806046,0.018761663039293712
Mg-Sn-Sr,final/novelty_stable_novel_count,25.0,2.0976176963403033,0.938083151964686
Mg-Sn-Sr,final/novelty_stable_novel_fraction,0.5,0.041952353926806046,0.018761663039293712
Mg-Sn-Sr,final/novelty_stable_unique_count,21.4,1.9595917942265424,0.8763560920082657
Mg-Sn-Sr,final/novelty_stable_unique_fraction,0.42799999999999994,0.039191835884530846,0.017527121840165312
Mg-Sn-Sr,final/novelty_stable_unique_novel_count,21.4,1.9595917942265424,0.8763560920082657
Mg-Sn-Sr,final/novelty_stable_unique_novel_fraction,0.42799999999999994,0.039191835884530846,0.017527121840165312
Mg-Sn-Sr,final/novelty_unique_structure_count,45.0,1.2649110640673518,0.565685424949238
Mg-Sn-Sr,final/novelty_unique_structure_fraction,0.9,0.025298221281347056,0.011313708498984769
Mg-Sn-Sr,final/num_correct_stable_formulas,0.0,0.0,0.0
Mg-Sn-Sr,final/num_correct_stable_structures,0.0,0.0,0.0
Mg-Sn-Sr,final/num_ground_truth_stable_formulas,29.0,0.0,0.0
Mg-Sn-Sr,final/num_ground_truth_stable_structures,112.0,0.0,0.0
Mg-Sn-Sr,final/num_gt_formulas_missing_initial,0.0,0.0,0.0
Mg-Sn-Sr,final/num_gt_structures_missing_initial,0.0,0.0,0.0
Mg-Sn-Sr,final/num_initial_structures,112.0,0.0,0.0
Mg-Sn-Sr,final/num_newly_discovered_stable,21.4,1.9595917942265424,0.8763560920082657
Mg-Sn-Sr,final/num_newly_discovered_structures,45.0,1.2649110640673518,0.565685424949238
Mg-Sn-Sr,final/num_observed_stable_formulas,40.8,3.0594117081556713,1.3682105101189657
Mg-Sn-Sr,final/precision_formula,0.0,0.0,0.0
Mg-Sn-Sr,final/precision_structure,0.0,0.0,0.0
Mg-Sn-Sr,final/queries_used,50.0,0.0,0.0
Mg-Sn-Sr,final/recall_formula,0.0,0.0,0.0
Mg-Sn-Sr,final/recall_structure,0.0,0.0,0.0
Mg-Sn-Sr,final/reference_composition_precision,0.0,0.0,0.0
Mg-Sn-Sr,final/reference_composition_recall,0.0,0.0,0.0
Mg-Sn-Sr,final/reference_structure_precision,0.0,0.0,0.0
Mg-Sn-Sr,final/reference_structure_recall,0.0,0.0,0.0
Mg-Sn-Sr,final/stable_discovery_efficiency,0.42799999999999994,0.039191835884530846,0.017527121840165312
Mg-Sn-Sr,final/validity_distance_and_smact_valid_count,50.0,0.0,0.0
Mg-Sn-Sr,final/validity_distance_and_smact_valid_fraction,1.0,0.0,0.0
Mg-Sn-Sr,final/validity_distance_valid_count,50.0,0.0,0.0
Mg-Sn-Sr,final/validity_distance_valid_fraction,1.0,0.0,0.0
Mg-Sn-Sr,final/validity_min_interatomic_distance_mean,3.0659988378565055,0.15486192461774323,0.0692563581143444
Mg-Sn-Sr,final/validity_min_interatomic_distance_min,2.3802132226055184,0.7540657913135124,0.3372284737768368
Mg-Sn-Sr,final/validity_min_interatomic_distance_std,0.34976739278489316,0.17158710624269297,0.07673608672422799
Mg-Sn-Sr,final/validity_smact_valid_count,50.0,0.0,0.0
Mg-Sn-Sr,final/validity_smact_valid_fraction,1.0,0.0,0.0
Au-K-Tb,final/convex_hull_e_above_hull_max,3.366047668457031,0.3547777177012064,0.15866141873642559
Au-K-Tb,final/convex_hull_e_above_hull_mean,0.5468828841937723,0.20906937762679914,0.0934986680774193
Au-K-Tb,final/convex_hull_e_above_hull_min,2.6702880859019727e-05,4.088039407815398e-05,1.828226802114643e-05
Au-K-Tb,final/convex_hull_e_above_hull_std,0.8137722539289349,0.10722776661750764,0.04795371504644595
Au-K-Tb,final/convex_hull_energy_per_atom_max,-1.215268039703369,0.06442542202131676,0.028811924623755238
Au-K-Tb,final/convex_hull_energy_per_atom_mean,-3.784328336331023,0.4588925660074845,0.20522299439240893
Au-K-Tb,final/convex_hull_energy_per_atom_min,-4.723316103617351,0.04127163945084889,0.018457238270992042
Au-K-Tb,final/convex_hull_energy_per_atom_std,0.8660100701508018,0.09107991266628203,0.040732175221310146
Au-K-Tb,final/convex_hull_formation_energy_per_atom_max,2.513909462292989,0.24616457394150573,0.11008814419709603
Au-K-Tb,final/convex_hull_formation_energy_per_atom_mean,-0.1531903978679857,0.2481381862337518,0.1109707704464343
Au-K-Tb,final/convex_hull_formation_energy_per_atom_min,-0.8718506018320719,0.0016125860512963134,0.0007211704060533039
Au-K-Tb,final/convex_hull_formation_energy_per_atom_std,0.7887847695661335,0.10684918016522575,0.047784406037913396
Au-K-Tb,final/convex_hull_stable_count,16.4,9.156418513807678,4.0948748454623125
Au-K-Tb,final/convex_hull_stable_fraction,0.328,0.18312837027615356,0.08189749690924625
Au-K-Tb,final/discovery_curve_acceleration_factor,0.0,0.0,0.0
Au-K-Tb,final/discovery_curve_area_under_discovery_curve,361.2,189.70229308050023,84.83744456311729
Au-K-Tb,final/discovery_curve_area_under_discovery_curve_normalized,0.28896,0.15176183446440017,0.06786995565049384
Au-K-Tb,final/discovery_curve_enhancement_factor,0.0,0.0,0.0
Au-K-Tb,final/discovery_efficiency,0.9199999999999999,0.05366563145999495,0.023999999999999997
Au-K-Tb,final/diversity_all_composition_l1_distance_max,1.1961904761904762,0.2092942465349993,0.09359923251037165
Au-K-Tb,final/diversity_all_composition_l1_distance_mean,0.4752322262238229,0.11113605763983596,0.04970155592680161
Au-K-Tb,final/diversity_all_composition_l1_distance_min,0.0,0.0,0.0
Au-K-Tb,final/diversity_all_composition_l1_distance_std,0.31061115730088007,0.02287436150285541,0.010229725452457789
Au-K-Tb,final/diversity_all_composition_l2_distance_max,0.8035989957906271,0.10115922652772648,0.04523978141345928
Au-K-Tb,final/diversity_all_composition_l2_distance_mean,0.3249728628422729,0.06301224048187215,0.028179930626406044
Au-K-Tb,final/diversity_all_composition_l2_distance_min,0.0,0.0,0.0
Au-K-Tb,final/diversity_all_composition_l2_distance_std,0.21238299820131662,0.007956413400514971,0.0035582162441283468
Au-K-Tb,final/diversity_all_composition_unique_composition_count,12.2,5.418486873657627,2.4232209969377534
Au-K-Tb,final/diversity_all_composition_unique_composition_fraction,0.24400000000000005,0.10836973747315252,0.04846441993875506
Au-K-Tb,final/diversity_all_structure_amd_distance_max,16.00888304855231,1.9842388423690045,0.8873785870265167
Au-K-Tb,final/diversity_all_structure_amd_distance_mean,4.160577144393004,0.9782886653471238,0.4375039914667423
Au-K-Tb,final/diversity_all_structure_amd_distance_min,0.09178138327321897,0.12797890161889514,0.05723390474112148
Au-K-Tb,final/diversity_all_structure_lattice_parameter_variance,9.602624329418047,2.936028742259065,1.3130319703168958
Au-K-Tb,final/diversity_all_structure_spacegroup_entropy,1.1460703830429342,0.6302071327289813,0.2818371977374469
Au-K-Tb,final/diversity_all_structure_unique_spacegroups_count,9.0,3.521363372331802,1.574801574802362
Au-K-Tb,final/diversity_all_structure_unique_spacegroups_fraction,0.18,0.07042726744663605,0.031496031496047246
Au-K-Tb,final/diversity_all_structure_unique_structure_count,46.0,2.6832815729997477,1.2
Au-K-Tb,final/diversity_all_structure_unique_structure_fraction,0.9199999999999999,0.05366563145999495,0.023999999999999997
Au-K-Tb,final/diversity_stable_composition_l1_distance_max,0.862857142857143,0.4436439503121012,0.19840360614087946
Au-K-Tb,final/diversity_stable_composition_l1_distance_mean,0.3470979530444882,0.1754490450425455,0.07846319826051083
Au-K-Tb,final/diversity_stable_composition_l1_distance_min,0.0,0.0,0.0
Au-K-Tb,final/diversity_stable_composition_l1_distance_std,0.26925082129621036,0.13591216270413323,0.0607817669550907
Au-K-Tb,final/diversity_stable_composition_l2_distance_max,0.6101321369095353,0.31370364569807446,0.14029253531408079
Au-K-Tb,final/diversity_stable_composition_l2_distance_mean,0.24402679447976466,0.12311527206605714,0.05505882348161695
Au-K-Tb,final/diversity_stable_composition_l2_distance_min,0.0,0.0,0.0
Au-K-Tb,final/diversity_stable_composition_l2_distance_std,0.1893649201684856,0.09572992471705917,0.042811723829656326
Au-K-Tb,final/diversity_stable_composition_unique_composition_count,7.0,4.049691346263317,1.811077027627483
Au-K-Tb,final/diversity_stable_composition_unique_composition_fraction,0.43690476190476185,0.05318644738973495,0.02378570236903272
Au-K-Tb,final/diversity_stable_structure_amd_distance_max,7.224051014542567,2.0818036911546622,0.9310109138463605
Au-K-Tb,final/diversity_stable_structure_amd_distance_mean,3.090675583091117,2.23412589258992,0.9991314732246909
Au-K-Tb,final/diversity_stable_structure_amd_distance_min,1.5162647770332176,2.8646241441943223,1.2810988632811329
Au-K-Tb,final/diversity_stable_structure_lattice_parameter_variance,4.3967940348629835,2.4472683158567436,1.094451662687421
Au-K-Tb,final/diversity_stable_structure_spacegroup_entropy,1.3686963617083,0.5495181822517461,0.24575200207740452
Au-K-Tb,final/diversity_stable_structure_unique_spacegroups_count,6.2,3.370459909270543,1.5073154945133416
Au-K-Tb,final/diversity_stable_structure_unique_spacegroups_fraction,0.49226190476190473,0.27375517058867815,0.12242703412566709
